,#,Country,Flag,Num Players,Women,% of Women,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,Age Avg
118,119,Cyprus,,151,8,5.3,1335,0,0,5,0,0,0,33
119,120,Oman,,147,4,2.72,1141,0,0,3,0,0,0,31
120,121,Barbados,,143,26,18.18,1573,0,4,5,0,0,1,31
121,122,,,133,22,16.54,1453,0,1,4,0,0,3,21
122,123,Malta,,132,11,8.33,1554,0,1,2,0,0,3,39
123,124,Suriname,,131,27,20.61,1469,0,0,4,0,0,5,23
124,125,Pakistan,,130,9,6.92,1746,0,2,2,0,0,0,44
125,126,Tajikistan,,129,38,29.46,1681,1,4,4,0,0,1,36
126,127,Lesotho,,121,16,13.22,1375,0,0,0,0,0,1,24
127,128,Kuwait,,119,14,11.76,1412,0,0,2,0,0,0,35
128,129,Palau,,116,29,25,1395,0,0,0,0,0,1,41
129,130,Ethiopia,,90,22,24.44,1742,0,0,2,0,0,0,34
130,131,Namibia,,86,21,24.42,1453,0,0,2,0,0,1,22
131,132,Ghana,,82,10,12.2,1542,0,1,1,0,0,1,32
132,133,Afghanistan,,78,1,1.28,1650,0,0,5,0,0,0,40
133,134,Bermuda,,72,3,4.17,1447,0,0,1,0,0,1,46
134,135,Mauritania,,72,5,6.94,1661,0,0,1,0,0,0,41
135,136,Monaco,,71,14,19.72,1766,4,3,4,1,2,2,41
136,137,Andorra,,67,7,10.45,1701,2,2,4,0,0,0,39
137,138,Mozambique,,64,22,34.38,1595,0,0,2,0,1,0,26
138,139,Yemen,,56,10,17.86,1725,0,4,5,0,0,1,31
139,140,Qatar,,52,16,30.77,1682,3,1,2,0,0,3,30
140,141,Aruba,,48,12,25,1647,0,1,1,0,0,1,33
141,142,Swaziland,,48,9,18.75,1252,0,0,0,0,0,0,28
142,143,Guyana,,47,7,14.89,1474,0,0,1,0,0,1,32
143,144,Netherlands Antilles,,45,8,17.78,1747,0,0,5,0,0,1,41
144,145,Fiji,,43,8,18.6,1627,0,0,0,0,0,2,36
145,146,Rwanda,,42,5,11.9,1608,0,0,0,0,0,1,36
146,147,Macao,,41,6,14.63,1703,0,0,3,0,0,0,32
147,148,Brunei,,40,3,7.5,1709,0,0,5,0,0,0,33
148,149,Cape Verde,,40,0,0,1184,0,0,0,0,0,0,40
149,150,Ivory Coast,,38,2,5.26,1655,0,0,1,0,0,0,41
150,151,Bahamas,,38,6,15.79,1562,0,0,1,0,0,0,43
151,152,Maldives,,35,7,20,1482,0,0,2,0,0,0,35
152,153,Tanzania,,34,6,17.65,1340,0,0,0,0,0,0,53
153,154,Guam,,33,4,12.12,1679,0,0,0,0,0,1,49
154,155,Brunei,,32,2,6.25,1731,0,0,2,0,0,1,38
155,156,Jersey,,30,1,3.33,1743,0,0,1,0,0,0,38
156,157,Mauritius,,28,3,10.71,1705,0,0,2,0,0,0,43
157,158,Togo,,25,3,12,1551,0,0,0,0,0,0,36
158,159,Guernsey,,23,2,8.7,1744,0,0,1,0,0,0,56
159,160,Haiti,,21,4,19.05,1758,0,0,1,0,0,0,28
160,161,Liberia,,19,0,0,1772,0,0,2,0,0,0,37
161,162,East Timor,,18,2,11.11,1551,0,0,0,0,0,0,30
162,163,South Sudan,,18,0,0,1961,0,0,0,0,0,0,31
163,164,Sao Tome and Principe,,17,1,5.88,1730,0,0,0,0,0,0,37
164,165,Liechtenstein,,17,2,11.76,1888,0,0,2,0,0,0,49
165,166,Laos,,16,4,25,1265,0,0,0,0,0,0,24
166,167,Cameroon,,16,2,12.5,1757,0,1,2,0,0,0,40
167,168,Burkina Faso,,15,0,0,1475,0,0,0,0,0,0,50
168,169,Solomon Islands,,14,0,0,1721,0,0,0,0,0,0,39
169,170,Somalia,,13,0,0,1693,0,0,0,0,0,0,29
170,171,Seychelles,,13,4,30.77,1573,0,0,1,0,0,0,32
171,172,Mali,,12,0,0,1858,0,0,2,0,0,0,50
172,173,Senegal,,12,3,25,1661,0,0,0,0,0,0,49
173,174,Burundi,,12,0,0,1726,0,0,1,0,0,0,34
174,175,Gambia,,11,0,0,1862,0,0,1,0,0,0,57
175,176,San Marino,,11,0,0,1815,0,0,2,0,0,0,49
176,177,United States Virgin Islands,,11,2,18.18,1612,0,0,2,0,0,0,39
177,178,Djibouti,,10,0,0,1652,0,0,0,0,0,0,34
178,179,Papua New Guinea,,10,0,0,1829,0,0,3,0,0,0,63
179,180,Nauru,,8,0,0,1685,0,0,1,0,0,0,45
180,181,,,8,0,0,1780,0,0,0,0,0,0,32
181,182,Congo,,7,0,0,1679,0,0,2,0,0,0,51
182,183,Bhutan,,7,0,0,1438,0,0,0,0,0,0,32
183,184,Sierra Leone,,6,1,16.67,1680,0,0,0,0,0,0,41
184,185,Netherlands Antilles,,6,0,0,1191,0,0,0,0,0,0,28
185,186,Eritrea,,6,0,0,1820,0,0,0,0,0,0,31
186,187,Virgin Islands,,4,0,0,1749,0,0,0,0,0,0,54
187,188,Central African Republic,,4,0,0,1556,0,0,0,0,0,0,38
188,189,Gabon,,3,0,0,1878,0,0,1,0,0,0,39
189,190,Cambodia,,2,0,0,2250,0,0,1,0,0,0,59
